data,godzina,temp,wilgotnosc_wzgledna,PM1,PM2.5,PM10,szerokosc,latitude,dlugosc,longitude,szerokosc_stopnie,dlugosc_stopnie
170917,185945,13.5,83.4,1.25,1.25,3.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,190023,13.52,83.53,0.5,0.75,2.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,190101,13.55,83.42,1.25,1.25,3,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,190139,13.5,83.57,0.75,0.75,1.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,190216,13.55,83.38,0.75,1,1.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,190252,13.55,83.47,1,0.5,1.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,190332,13.5,83.63,1.5,0.5,2,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,190410,13.5,83.68,1,1.25,3.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,190447,13.5,83.68,0.75,0.75,3,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,190525,13.5,83.65,1,2,3,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,190603,13.5,83.68,1.25,0.5,4.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,190641,13.5,83.48,0.25,0,1.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,190717,13.5,83.78,0.25,0,1.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,190756,13.5,83.9,0.5,0,1,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,190832,13.5,83.88,0.75,0.75,4.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,190911,13.5,84,0,0.5,1.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,190948,13.5,83.95,1,0.25,0.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,191027,13.5,84.03,0.75,1.5,6.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,191105,13.52,84.1,0.25,0.25,3.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,191143,13.52,84.05,0.5,0.5,2.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,191221,13.5,84.03,0.75,0.75,3.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,191259,13.52,84.1,0,0,0.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,191337,13.48,83.95,0.25,0,3,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,191417,13.43,84,1.25,0.5,1.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,191457,13.5,84.38,1,2,7.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,191535,13.5,84.25,0.5,0.25,1.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,191614,13.48,84.3,0.75,0,0,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,191653,13.48,84.18,0.5,0,1.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,191731,13.5,84.18,0.5,0.5,4.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,191731,13.48,84.2,0.25,0.5,1.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,191845,13.5,84.32,0.75,1,4.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,191845,13.5,84.3,0,0,1.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,192055,13.5,84.5,0.5,0.5,0.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,192133,13.45,84.63,0.25,0,0.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,192216,13.4,84.65,0.75,0.5,3,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,192250,13.48,84.38,0.5,0,1.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,192250,13.48,84,0.75,0.75,4.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,192508,13.48,83.95,1.5,1.75,3.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,192545,13.5,83.85,1.25,1,1.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,192619,13.48,83.82,0.5,0.5,0.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,192706,13.48,84.05,0.75,0.5,1.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,192746,13.43,84.03,1,0.75,2.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,192821,13.43,84.13,0.75,0.25,0.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,192901,13.43,84.13,1,1.5,3,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,193022,13.4,84.1,0.25,0.25,3.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,193100,13.38,83.93,1.5,0.5,2.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,193139,13.4,83.58,0.75,0,0.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,193219,13.43,83.45,0.75,0.25,3.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,193258,13.43,83.03,0,0,0.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,193330,13.43,83.03,0.75,0.5,0.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,193415,13.4,83,0.25,0,1.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,193455,13.43,83.13,0.75,0.5,2,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,193534,13.4,83.35,0.5,0.25,0.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,193613,13.4,83.43,1,0.5,2,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,193652,13.4,83.38,0.25,0.25,3.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
